"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Bulbasaur",1,"Grass","Poison",318,45,49,49,65,65,45,0.173,0.238,0.18,0.008,"Weak"
"Ivysaur",2,"Grass","Poison",405,60,62,63,80,80,60,0.232,0.308,0.237,0.017,"Weak"
"Venusaur",3,"Grass","Poison",525,80,82,83,100,100,80,0.311,0.416,0.318,0.041,"Weak"
"Venusaur Mega Venusaur",3,"Grass","Poison",625,80,100,123,122,120,80,0.311,0.514,0.482,0.077,"Weak"
"Charmander",4,"Fire","",309,39,52,43,60,50,65,0.15,0.254,0.155,0.006,"Weak"
"Charmeleon",5,"Fire","",405,58,64,58,80,65,80,0.224,0.319,0.216,0.016,"Weak"
"Charizard",6,"Fire","Flying",534,78,84,78,109,85,100,0.303,0.427,0.298,0.039,"Weak"
"Charizard Mega Charizard X",6,"Fire","Dragon",634,78,130,111,130,85,100,0.303,0.676,0.433,0.089,"Weak"
"Charizard Mega Charizard Y",6,"Fire","Flying",634,78,104,78,159,115,100,0.303,0.535,0.298,0.049,"Weak"
"Squirtle",7,"Water","",314,44,48,65,50,64,43,0.169,0.232,0.245,0.01,"Weak"
"Wartortle",8,"Water","",405,59,63,80,65,80,58,0.228,0.314,0.306,0.022,"Weak"
"Blastoise",9,"Water","",530,79,83,100,85,105,78,0.307,0.422,0.388,0.05,"Weak"
"Blastoise Mega Blastoise",9,"Water","",630,79,103,120,135,115,78,0.307,0.53,0.469,0.077,"Weak"
"Caterpie",10,"Bug","",195,45,30,35,20,20,45,0.173,0.135,0.122,0.003,"Weak"
"Metapod",11,"Bug","",205,50,20,55,25,25,30,0.193,0.081,0.204,0.003,"Weak"
"Butterfree",12,"Bug","Flying",395,60,45,50,90,80,70,0.232,0.216,0.184,0.009,"Weak"
"Weedle",13,"Bug","Poison",195,40,35,30,20,20,50,0.154,0.162,0.102,0.003,"Weak"
"Kakuna",14,"Bug","Poison",205,45,25,50,25,25,35,0.173,0.108,0.184,0.004,"Weak"
"Beedrill",15,"Bug","Poison",395,65,90,40,45,80,75,0.252,0.459,0.143,0.017,"Weak"
"Beedrill Mega Beedrill",15,"Bug","Poison",495,65,150,40,15,80,145,0.252,0.784,0.143,0.028,"Weak"
"Pidgey",16,"Normal","Flying",251,40,45,40,35,35,56,0.154,0.216,0.143,0.005,"Weak"
"Pidgeotto",17,"Normal","Flying",349,63,60,55,50,50,71,0.244,0.297,0.204,0.015,"Weak"
"Pidgeot",18,"Normal","Flying",479,83,80,75,70,70,101,0.323,0.405,0.286,0.038,"Weak"
"Pidgeot Mega Pidgeot",18,"Normal","Flying",579,83,80,80,135,80,121,0.323,0.405,0.306,0.04,"Weak"
"Rattata",19,"Normal","",253,30,56,35,25,35,72,0.114,0.276,0.122,0.004,"Weak"
"Rattata Alolan Rattata",19,"Dark","Normal",253,30,56,35,25,35,72,0.114,0.276,0.122,0.004,"Weak"
"Raticate",20,"Normal","",413,55,81,60,50,70,97,0.213,0.411,0.224,0.02,"Weak"
"Raticate Alolan Raticate",20,"Dark","Normal",413,75,71,70,40,80,77,0.291,0.357,0.265,0.028,"Weak"
"Spearow",21,"Normal","Flying",262,40,60,30,31,31,70,0.154,0.297,0.102,0.005,"Weak"
"Fearow",22,"Normal","Flying",442,65,90,65,61,61,100,0.252,0.459,0.245,0.029,"Weak"
"Ekans",23,"Poison","",288,35,60,44,40,54,55,0.134,0.297,0.159,0.007,"Weak"
"Arbok",24,"Poison","",448,60,95,69,65,79,80,0.232,0.486,0.261,0.03,"Weak"
